"Position","Name","Type","Signal","Label"
"A1","VSS","Power","",""
"A2","PI6","I/O","SAI2_SD_A",""
"A3","PI5","I/O","SAI2_SCK_A",""
"A4","PI4","I/O","SAI2_MCLK_A",""
"A5","PB5","I/O","USB_OTG_HS_ULPI_D7",""
"A6","VDDLDO","Power","",""
"A7","VCAP","Power","",""
"A8","PK5","I/O","",""
"A9","PG10","I/O","SPI1_NSS",""
"A10","PG9","I/O","QUADSPI_BK2_IO2",""
"A11","PD5","I/O","USART2_TX",""
"A12","PD4","I/O","",""
"A13","PC10","I/O","QUADSPI_BK1_IO1",""
"A14","PA15 (JTDI)","I/O","",""
"A15","PI1","I/O","SPI2_SCK",""
"A16","PI0","I/O","SPI2_NSS",""
"A17","VSS","Power","",""
"B1","VBAT","Power","",""
"B2","VSS","Power","",""
"B3","PI7","I/O","SAI2_FS_A",""
"B4","PE1","I/O","FMC_NBL1",""
"B5","PB6","I/O","QUADSPI_BK1_NCS",""
"B6","NC","NC","",""
"B7","PB4 (NJTRST)","I/O","SPI1_MISO",""
"B8","PK4","I/O","",""
"B9","PG11","I/O","SPI1_SCK",""
"B10","PJ15","I/O","",""
"B11","PD6","I/O","USART2_RX",""
"B12","PD3","I/O","",""
"B13","PC11","I/O","QUADSPI_BK2_NCS",""
"B14","PA14 (JTCK/SWCLK)","I/O","DEBUG_JTCK-SWCLK",""
"B15","PI2","I/O","SPI2_MISO",""
"B16","PH15","I/O","",""
"B17","PH14","I/O","",""
"C1","PC15-OSC32_OUT (OSC32_OUT)","I/O","RCC_OSC32_OUT",""
"C2","PC14-OSC32_IN (OSC32_IN)","I/O","RCC_OSC32_IN",""
"C3","PE2","I/O","QUADSPI_BK1_IO2",""
"C4","PE0","I/O","FMC_NBL0",""
"C5","PB7","I/O","I2C1_SDA",""
"C6","PB3 (JTDO/TRACESWO)","I/O","",""
"C7","PK6","I/O","",""
"C8","PK3","I/O","",""
"C9","PG12","I/O","",""
"C10","VSS","Power","",""
"C11","PD7","I/O","SPI1_MOSI",""
"C12","PC12","I/O","",""
"C13","VSS","Power","",""
"C14","PI3","I/O","SPI2_MOSI",""
"C15","PA13 (JTMS/SWDIO)","I/O","DEBUG_JTMS-SWDIO",""
"C16","VSS","Power","",""
"C17","VDDLDO","Power","",""
"D1","PE5","I/O","SAI1_SCK_A",""
"D2","PE4","I/O","SAI1_FS_A",""
"D3","PE3","I/O","",""
